User_ID,Job_ID,Job_Role,Company,User_Skills,Job_Requirements,Match_Score,Recommended,Projects,Certifications
1.0,16.0,Data Scientist,Infosys,"Python, C++, Machine Learning","SQL, CSS, AI, JavaScript, Data Science",0.6204206284876945,0,Fraud detection model,Coursera ML
2.0,30.0,ML Engineer,Wipro,"AI, Python, Data Science","AI, Data Science, SQL, Python, CSS",0.8234510612396936,1,Feature engineering system,Machine Learning Certification
3.0,319.0,ML Engineer,Microsoft,"CSS, Python, Machine Learning","SQL, AI, Python",0.7038296838133097,0,AutoML pipeline,Machine Learning Certification
4.0,399.0,Data Scientist,TCS,"SQL, Machine Learning, C++","Java, AI, Python, Data Science, Machine Learning",0.224724411314933,0,Data visualization dashboard,Coursera ML
5.0,405.0,ML Engineer,Accenture,"Machine Learning, HTML, JavaScript","Machine Learning, C++",0.2964532446080892,0,ML pipeline,AWS ML
6.0,66.0,AI Engineer,Wipro,"Java, Data Science","HTML, CSS, Python, Machine Learning",0.6743089060772848,0,Deep learning model,Deep Learning Specialization
7.0,157.0,UI Developer,Amazon,"AI, Python, HTML, JavaScript","Java, JavaScript, SQL",0.9142540775623276,1,General software project,General tech certification
8.0,53.0,UI Developer,TCS,"Java, Data Science","Python, HTML, CSS, SQL, JavaScript",0.1385358123838407,0,General software project,General tech certification
9.0,247.0,Data Scientist,Wipro,"SQL, Machine Learning, Java, HTML","Python, C++, AI",0.5449271162937245,0,Recommendation system,Google Data Analytics
10.0,68.0,AI Engineer,Microsoft,"SQL, Machine Learning, AI, C++","C++, Machine Learning, Python",0.7096905419180726,0,Computer vision app,Deep Learning Specialization
11.0,440.0,AI Engineer,CodeCraft Labs,"JavaScript, Machine Learning","HTML, AI, CSS, Python, Machine Learning",0.5555037130455993,0,GAN project,Deep Learning Specialization
12.0,95.0,React Developer,DataNest AI,"Java, C++, Python, Data Science","SQL, CSS",0.3373099089820892,0,General software project,General tech certification
13.0,157.0,Backend Developer,Google,"HTML, Data Science, Java, Machine Learning, C++","Python, Java",0.8123776874830022,1,Database system,Node.js Certification
14.0,132.0,Frontend Developer,TCS,"Machine Learning, C++","JavaScript, HTML",0.8889506723941278,1,Admin panel UI,Frontend Bootcamp
