User_ID,Job_ID,Job_Role,Company,User_Skills,Job_Requirements,Match_Score,Recommended,Projects,Certifications
U00001,J00001,AI Engineer,Accenture,"Keras, Neural Networks, Machine Learning, Python","Python, Keras, Machine Learning, Neural Networks",1.0,1,Object detection system,Google AI Certificate
U00002,J00002,AI Engineer,Google,"GPT, CUDA, Keras","Model Deployment, Computer Vision, GANs, BERT",0.0648,0,NLP sentiment engine,Fast.ai Course
U00003,J00003,AI Engineer,NVIDIA,"Deep Learning, Neural Networks, PyTorch, Keras, OpenCV, Attention Mechanisms","OpenCV, Keras, Neural Networks, Computer Vision, Attention Mechanisms, Deep Learning, PyTorch",0.9349,1,Image classification with CNN,Google AI Certificate
U00004,J00004,AI Engineer,Microsoft,"Attention Mechanisms, Machine Learning","GANs, Hugging Face, Reinforcement Learning, CUDA, Computer Vision, PyTorch",0.0618,0,Object detection system,PyTorch Udacity Nanodegree
U00005,J00005,AI Engineer,Microsoft,"Keras, GPT, Scikit-learn, GANs","Transformers, Keras, GPT, GANs",0.8061,1,Multimodal AI pipeline,Fast.ai Course
U00006,J00006,AI Engineer,Amazon,"GANs, Model Deployment, Machine Learning, Attention Mechanisms","Model Deployment, Machine Learning, NLP, GPT, Transformers",0.4259,0,Object detection system,PyTorch Udacity Nanodegree
U00007,J00007,AI Engineer,Zoho,"Keras, CUDA, OpenCV, NLP, MLOps","OpenCV, Transformers, Keras, PyTorch",0.5212,1,Text summarization tool,Google AI Certificate
U00008,J00008,AI Engineer,Infosys,"MLOps, LLMs, PyTorch","CUDA, BERT, Attention Mechanisms, Transformers, Reinforcement Learning, Machine Learning",0.0605,0,NLP sentiment engine,Fast.ai Course
U00009,J00009,AI Engineer,Infosys,"PyTorch, Transformers, Hugging Face, BERT","Attention Mechanisms, BERT, Hugging Face, PyTorch, Transformers",0.8544,1,Text summarization tool,PyTorch Udacity Nanodegree
U00010,J00010,AI Engineer,Swiggy,"Python, Keras, MLOps, NLP, Deep Learning","GANs, OpenCV, Deep Learning, Scikit-learn, BERT, NLP",0.4029,0,Text summarization tool,Google AI Certificate
U00011,J00011,AI Engineer,Zomato,"NLP, MLOps, Reinforcement Learning","Neural Networks, Reinforcement Learning, NLP, Model Deployment, MLOps",0.6089,1,AI recommendation engine,TensorFlow Developer Certificate
U00012,J00012,AI Engineer,Cognizant,"Model Deployment, Neural Networks","Machine Learning, CUDA, PyTorch, LLMs",0.0103,0,Text summarization tool,TensorFlow Developer Certificate
U00013,J00013,AI Engineer,Google,"Keras, CUDA, MLOps, Hugging Face, Computer Vision, Model Deployment, BERT","MLOps, Hugging Face, BERT, Computer Vision, Model Deployment, CUDA",1.0,1,Multimodal AI pipeline,Google AI Certificate
U00014,J00014,AI Engineer,Flipkart,"Machine Learning, PyTorch","CUDA, Machine Learning, Python, PyTorch, GANs",0.4724,0,Image classification with CNN,Google AI Certificate
U00015,J00015,AI Engineer,Intel,"Keras, MLOps, TensorFlow, Computer Vision, Model Deployment, Machine Learning","Keras, Attention Mechanisms, LLMs, Computer Vision, Model Deployment",0.6078,1,Speech recognition model,AWS ML Specialty
U00016,J00016,AI Engineer,Wipro,"Computer Vision, Model Deployment, GPT","GPT, TensorFlow, Deep Learning, GANs, Transformers, OpenCV, Hugging Face",0.1541,0,AI recommendation engine,AWS ML Specialty
U00017,J00017,AI Engineer,Amazon,"Deep Learning, PyTorch, GPT, Attention Mechanisms, TensorFlow, GANs, Computer Vision, Model Deployment","PyTorch, GPT, Model Deployment, Deep Learning, TensorFlow",1.0,1,NLP sentiment engine,AWS ML Specialty
U00018,J00018,AI Engineer,Amazon,"Model Deployment, Attention Mechanisms, LLMs, Neural Networks, Computer Vision","Transformers, Keras, GPT, Scikit-learn",0.0237,0,Multimodal AI pipeline,Fast.ai Course
U00019,J00019,AI Engineer,Zoho,"TensorFlow, CUDA, OpenCV, LLMs","OpenCV, TensorFlow, CUDA, LLMs",1.0,1,Autonomous agent with RL,Deep Learning Specialization
U00020,J00020,AI Engineer,NVIDIA,"Keras, Computer Vision, Attention Mechanisms, OpenCV","CUDA, Hugging Face, TensorFlow, PyTorch, BERT",0.0191,0,NLP sentiment engine,Fast.ai Course
U00021,J00021,AI Engineer,Swiggy,"PyTorch, OpenCV, GPT, Attention Mechanisms, NLP, Hugging Face","GPT, OpenCV, PyTorch, Python, Attention Mechanisms, Deep Learning",0.6862,1,NLP sentiment engine,AWS ML Specialty
U00022,J00022,AI Engineer,Infosys,"Neural Networks, Keras","Hugging Face, GANs, MLOps, Python, Model Deployment, Scikit-learn",0.0092,0,Text summarization tool,TensorFlow Developer Certificate
U00023,J00023,AI Engineer,TCS,"Keras, OpenCV, Hugging Face, GANs, Computer Vision, Scikit-learn","Scikit-learn, Hugging Face, Computer Vision, OpenCV, GANs, Keras",1.0,1,AI recommendation engine,TensorFlow Developer Certificate
U00024,J00024,AI Engineer,Intel,"Reinforcement Learning, CUDA","Model Deployment, BERT, Attention Mechanisms, Python, Deep Learning, PyTorch, Neural Networks",0.0442,0,NLP sentiment engine,Deep Learning Specialization
U00025,J00025,AI Engineer,Flipkart,"CUDA, Attention Mechanisms, Reinforcement Learning, TensorFlow, Computer Vision, Machine Learning","Reinforcement Learning, TensorFlow, Attention Mechanisms, Computer Vision, Machine Learning, Deep Learning",0.8353,1,Autonomous agent with RL,PyTorch Udacity Nanodegree
U00026,J00026,AI Engineer,Zoho,"Machine Learning, Computer Vision, GPT, Reinforcement Learning, Scikit-learn","Keras, NLP, Deep Learning, Transformers, TensorFlow",0.0656,0,Object detection system,Deep Learning Specialization
U00027,J00027,AI Engineer,Razorpay,"Keras, PyTorch, OpenCV, Reinforcement Learning, Transformers","Transformers, OpenCV, Keras, PyTorch, Reinforcement Learning",1.0,1,NLP sentiment engine,Google AI Certificate
