User_ID,Job_ID,Job_Role,Company,User_Skills,Job_Requirements,Match_Score,Recommended
1.0,16.0,Data Scientist,Infosys,"Python, C++, Machine Learning","SQL, CSS, AI, JavaScript, Data Science",0.6204206284876945,0
2.0,30.0,ML Engineer,Wipro,"AI, Python, Data Science","AI, Data Science, SQL, Python, CSS",0.8234510612396936,1
3.0,319.0,ML Engineer,Microsoft,"CSS, Python, Machine Learning","SQL, AI, Python",0.7038296838133097,0
4.0,399.0,Data Scientist,TCS,"SQL, Machine Learning, C++","Java, AI, Python, Data Science, Machine Learning",0.224724411314933,0
5.0,405.0,ML Engineer,Accenture,"Machine Learning, HTML, JavaScript","Machine Learning, C++",0.2964532446080892,0
6.0,66.0,AI Engineer,Wipro,"Java, Data Science","HTML, CSS, Python, Machine Learning",0.6743089060772848,0
7.0,157.0,UI Developer,Amazon,"AI, Python, HTML, JavaScript","Java, JavaScript, SQL",0.9142540775623276,1
8.0,53.0,UI Developer,TCS,"Java, Data Science","Python, HTML, CSS, SQL, JavaScript",0.1385358123838407,0
9.0,247.0,Data Scientist,Wipro,"SQL, Machine Learning, Java, HTML","Python, C++, AI",0.5449271162937245,0
10.0,68.0,AI Engineer,Microsoft,"SQL, Machine Learning, AI, C++","C++, Machine Learning, Python",0.7096905419180726,0
11.0,440.0,AI Engineer,CodeCraft Labs,"JavaScript, Machine Learning","HTML, AI, CSS, Python, Machine Learning",0.5555037130455993,0
12.0,95.0,React Developer,DataNest AI,"Java, C++, Python, Data Science","SQL, CSS",0.3373099089820892,0
13.0,157.0,Backend Developer,Google,"HTML, Data Science, Java, Machine Learning, C++","Python, Java",0.8123776874830022,1
14.0,132.0,Frontend Developer,TCS,"Machine Learning, C++","JavaScript, HTML",0.8889506723941278,1
15.0,413.0,Data Scientist,Infosys,"SQL, Python, CSS, AI","C++, Python, AI, Machine Learning",0.1461527165221593,0
16.0,62.0,Frontend Developer,Meta,"HTML, C++, CSS","Data Science, HTML, C++, SQL",0.8726489959520474,1
17.0,311.0,AI Engineer,Meta,"SQL, AI","Data Science, Java, CSS, Machine Learning, JavaScript",0.0351621446137676,0
18.0,248.0,Data Scientist,DataNest AI,"AI, SQL","HTML, Machine Learning, JavaScript",0.8368165035869383,1
19.0,276.0,React Developer,Infosys,"Python, C++, AI, Machine Learning","CSS, HTML, JavaScript, SQL, Java",0.3150568086533168,0
20.0,430.0,Frontend Developer,TechNova Solutions,"Java, JavaScript, C++, Python","JavaScript, Python, Data Science",0.5123741381805943,0
21.0,308.0,Frontend Developer,TCS,"Machine Learning, Data Science, SQL","JavaScript, Java, HTML",0.8375096355773367,1
22.0,271.0,Frontend Developer,TCS,"JavaScript, SQL, Machine Learning","HTML, SQL, Data Science",0.2699721944669092,0
23.0,224.0,ML Engineer,CodeCraft Labs,"C++, Java, HTML","Python, Data Science, Machine Learning, HTML",0.5312960171754331,0
24.0,1.0,AI Engineer,Wipro,"SQL, Machine Learning, Java, C++, AI","Machine Learning, C++, Python",0.2936437920199366,0
25.0,7.0,AI Engineer,Meta,"Machine Learning, Data Science, AI","C++, Python, SQL, Machine Learning, Java",0.5487950859977712,0
26.0,352.0,AI Engineer,Meta,"CSS, JavaScript","Data Science, JavaScript, Machine Learning, AI, Java",0.6694033585696698,0
27.0,169.0,Frontend Developer,Oracle,"JavaScript, Java, Python, C++, SQL","HTML, JavaScript",0.7289636502463117,0
28.0,459.0,AI Engineer,Accenture,"C++, HTML, Python","C++, AI, Data Science, Java",0.6464106563569022,0
29.0,376.0,ML Engineer,Accenture,"CSS, Python","Machine Learning, CSS, Java, HTML",0.6500095462494869,0
30.0,408.0,AI Engineer,Infosys,"JavaScript, Python, CSS, SQL","AI, Python",0.6207795516986715,0
31.0,461.0,ML Engineer,Wipro,"Java, CSS","HTML, JavaScript, AI",0.9546610082411404,1
32.0,475.0,React Developer,Google,"AI, JavaScript","CSS, Java",0.4080833915419711,0
33.0,336.0,UI Developer,CodeCraft Labs,"Java, C++, JavaScript, HTML","Python, CSS",0.0329543154352685,0
34.0,374.0,ML Engineer,Amazon,"Java, C++, CSS, Machine Learning, SQL","HTML, Machine Learning, Data Science, Java, Python",0.7754387897195195,0
