User_ID,Job_ID,Job_Role,Company,User_Skills,Job_Requirements,Match_Score,Recommended
U00001,J00001,AI Engineer,Amazon,"Python, Keras, Machine Learning","Neural Networks, Deep Learning, Model Deployment, PyTorch, BERT",0.52,0
U00002,J00002,AI Engineer,Microsoft,"Machine Learning, MLOps, Python, Computer Vision","Machine Learning, GPT, Keras, Python, NLP, Reinforcement Learning, Computer Vision",0.67,0
U00003,J00003,AI Engineer,Razorpay,"OpenCV, Deep Learning, PyTorch, Transformers","Reinforcement Learning, Hugging Face, Keras, TensorFlow",0.86,1
U00004,J00004,AI Engineer,TCS,"Transformers, PyTorch, Model Deployment","Hugging Face, Reinforcement Learning, Computer Vision, PyTorch, TensorFlow, OpenCV",0.61,0
U00005,J00005,AI Engineer,Amazon,"Machine Learning, Deep Learning, Transformers","GPT, Reinforcement Learning, NLP, CUDA, MLOps, Deep Learning",0.84,1
U00006,J00006,AI Engineer,Wipro,"Model Deployment, Machine Learning, NLP, GPT","Keras, Model Deployment, Machine Learning, OpenCV, TensorFlow, Deep Learning, BERT",0.52,0
U00007,J00007,AI Engineer,TCS,"Keras, PyTorch, Computer Vision, OpenCV, Model Deployment, MLOps","Transformers, GPT, Neural Networks, Keras, Model Deployment, Deep Learning, Reinforcement Learning",0.78,1
U00008,J00008,AI Engineer,Amazon,"CUDA, Transformers, Reinforcement Learning, Machine Learning, Neural Networks, Keras","PyTorch, TensorFlow, Deep Learning, Neural Networks, NLP, Transformers, OpenCV",0.71,1
U00009,J00009,AI Engineer,Microsoft,"Transformers, GPT, MLOps, Keras, Python, OpenCV","Model Deployment, Keras, OpenCV, Deep Learning",0.65,0
U00010,J00010,AI Engineer,Razorpay,"Python, Keras, MLOps, NLP, Deep Learning, BERT","MLOps, Computer Vision, Neural Networks, Reinforcement Learning, NLP, Keras",0.98,1
U00011,J00011,AI Engineer,Swiggy,"Hugging Face, OpenCV, LLMs","Deep Learning, Reinforcement Learning, Scikit-learn, Machine Learning",0.53,0
U00012,J00012,AI Engineer,Swiggy,"PyTorch, LLMs, Hugging Face","Neural Networks, LLMs, Model Deployment, NLP, Keras",0.76,1
U00013,J00013,AI Engineer,Google,"Computer Vision, Model Deployment, Hugging Face, Scikit-learn, Transformers, OpenCV","GPT, MLOps, Hugging Face, Deep Learning, Machine Learning, CUDA",0.53,0
U00014,J00014,AI Engineer,Infosys,"CUDA, Machine Learning, Python, PyTorch","Machine Learning, PyTorch, TensorFlow, OpenCV",0.54,0
U00015,J00015,AI Engineer,Wipro,"LLMs, Computer Vision, Model Deployment, Neural Networks, Hugging Face","LLMs, BERT, Computer Vision, Deep Learning, MLOps",0.83,1
U00016,J00016,AI Engineer,TCS,"BERT, GPT, TensorFlow, Deep Learning, Model Deployment, Computer Vision","Deep Learning, Machine Learning, Computer Vision, Model Deployment, GPT, PyTorch",0.71,1
