User_ID,Job_ID,Job_Role,Company,User_Skills,Job_Requirements,Match_Score,Recommended,Projects,Certifications
1,16,Data Scientist,Infosys,"Python, C++, Machine Learning","SQL, CSS, AI, JavaScript, Data Science",0.6204206284876945,0,Fraud detection model,Coursera ML
2,30,ML Engineer,Wipro,"AI, Python, Data Science","AI, Data Science, SQL, Python, CSS",0.8234510612396936,1,Feature engineering system,Machine Learning Certification
3,319,ML Engineer,Microsoft,"CSS, Python, Machine Learning","SQL, AI, Python",0.7038296838133097,0,AutoML pipeline,Machine Learning Certification
4,399,Data Scientist,TCS,"SQL, Machine Learning, C++","Java, AI, Python, Data Science, Machine Learning",0.224724411314933,0,Data visualization dashboard,Coursera ML
5,405,ML Engineer,Accenture,"Machine Learning, HTML, JavaScript","Machine Learning, C++",0.2964532446080892,0,ML pipeline,AWS ML
6,66,AI Engineer,Wipro,"Java, Data Science","HTML, CSS, Python, Machine Learning",0.6743089060772848,0,Deep learning model,Deep Learning Specialization
7,157,UI Developer,Amazon,"AI, Python, HTML, JavaScript","Java, JavaScript, SQL",0.9142540775623276,1,General software project,General tech certification
8,53,UI Developer,TCS,"Java, Data Science","Python, HTML, CSS, SQL, JavaScript",0.1385358123838407,0,General software project,General tech certification
9,247,Data Scientist,Wipro,"SQL, Machine Learning, Java, HTML","Python, C++, AI",0.5449271162937245,0,Recommendation system,Google Data Analytics
10,68,AI Engineer,Microsoft,"SQL, Machine Learning, AI, C++","C++, Machine Learning, Python",0.7096905419180726,0,Computer vision app,Deep Learning Specialization
11,440,AI Engineer,CodeCraft Labs,"JavaScript, Machine Learning","HTML, AI, CSS, Python, Machine Learning",0.5555037130455993,0,GAN project,Deep Learning Specialization
12,95,React Developer,DataNest AI,"Java, C++, Python, Data Science","SQL, CSS",0.3373099089820892,0,General software project,General tech certification
13,157,Backend Developer,Google,"HTML, Data Science, Java, Machine Learning, C++","Python, Java",0.8123776874830022,1,Database system,Node.js Certification
14,132,Frontend Developer,TCS,"Machine Learning, C++","JavaScript, HTML",0.8889506723941278,1,Admin panel UI,Frontend Bootcamp
15,413,Data Scientist,Infosys,"SQL, Python, CSS, AI","C++, Python, AI, Machine Learning",0.1461527165221593,0,Sentiment analysis,Coursera ML
16,62,Frontend Developer,Meta,"HTML, C++, CSS","Data Science, HTML, C++, SQL",0.8726489959520474,1,Portfolio website,React Certification
17,311,AI Engineer,Meta,"SQL, AI","Data Science, Java, CSS, Machine Learning, JavaScript",0.0351621446137676,0,Computer vision app,AI Certification
18,248,Data Scientist,DataNest AI,"AI, SQL","HTML, Machine Learning, JavaScript",0.8368165035869383,1,Sentiment analysis,Google Data Analytics
19,276,React Developer,Infosys,"Python, C++, AI, Machine Learning","CSS, HTML, JavaScript, SQL, Java",0.3150568086533168,0,General software project,General tech certification
